date,Year,Month,Bond_lag_MV,Bond_Ew_Ret,Bond_Vw_Ret
1998-12-31,1998,12,3.177721,0.002523812039396145,0.0025923444267245263
1999-01-31,1999,1,3.201183,0.004753184265425896,0.004742811655449052
1999-02-28,1999,2,3.178965,-0.0168288224729912,-0.015179922267215248
1999-03-31,1999,3,3.151159,0.005334581448657779,0.005221934319272213
1999-04-30,1999,4,3.205724,0.0033280113872069307,0.003319086268241427
1999-05-31,1999,5,3.103502,-0.0060626368950323735,-0.00532427227746216
1999-06-30,1999,6,3.069125,0.0010288403794244821,0.0012523759185357264
1999-07-31,1999,7,3.092361,-6.932409320630254e-05,0.00024598079346318147
1999-08-31,1999,8,3.065487,0.0016434932071263736,0.0017927479022196765
1999-09-30,1999,9,3.025661,0.007141991280354001,0.006867113874633169
1999-10-31,1999,10,3.056589,0.000670140406972088,0.0009421683335962656
1999-11-30,1999,11,3.055216,0.0003040751232767458,0.0005724969382205888
1999-12-31,1999,12,3.070626,-0.002693299480650623,-0.001966975158856922
2000-01-31,2000,1,3.115168,0.0029133715529447725,0.0029219566781884783
2000-02-29,2000,2,3.038349,0.011120061422192377,0.010676566183778166
2000-03-31,2000,3,3.032545,0.015117065374408432,0.014071870522857908
2000-04-30,2000,4,3.052594,-0.0008585238113304658,-0.00037862137511554094
2000-05-31,2000,5,2.970012,0.0035087018490064003,0.0036553921500766164
2000-06-30,2000,6,2.913642,0.012681244259969164,0.011972665332652909
2000-07-31,2000,7,2.897571,0.008451264685599027,0.008044297341234881
2000-08-31,2000,8,2.865441,0.011890958239817869,0.011084352834706674
2000-09-30,2000,9,2.846343,0.0023146856975242987,0.002565340877979495
2000-10-31,2000,10,2.823747,0.008372643591951417,0.008019017172245728
2000-11-30,2000,11,2.81326,0.014785704973823711,0.013774707970321686
2000-12-31,2000,12,2.799616,0.01566662328905502,0.014728452891402814
2001-01-31,2001,1,2.787214,0.009525181604717896,0.009137431209013587
2001-02-28,2001,2,2.772942,0.009114178223604393,0.008368318957866293
2001-03-31,2001,3,2.765,0.003647048697600459,0.00391703071938345
