Year,Month,Stock_lag_MV,Stock_Excess_Vw_Ret,Bond_lag_MV,Bond_Excess_Vw_Ret
1965,1,475.825626125,0.0353130414340646,0.204964,0.0007995056585753998
1965,2,493.8596408125,0.004237173792511701,0.200799,-0.0015742138853407
1965,3,495.4516780625,-0.0132908060076086,0.206487,0.0009149747040127997
1965,4,491.1381385625,0.0310501374237831,0.203698,0.00022231445861109998
1965,5,507.87566015625,-0.0079178583676637,0.206434,-0.0004987363999874
1965,6,504.359970125,-0.054864321616693704,0.205942,0.001273710609541
1965,7,477.5042484375,0.0142371245282341,0.200685,-0.0008873736311434
1965,8,485.2380475,0.0272759203185476,0.202653,-0.0026495387105963998
1965,9,497.80483925,0.0285932723756167,0.195044,-0.0033785508302265
1965,10,512.88180653125,0.0257132135283646,0.203058,-0.0011201942671552
1965,11,527.7612865,-7.226076884650013e-05,0.201985,-0.0015707815030609003
1965,12,525.761402,0.0102926712695943,0.197028,-0.0078801599986175
1966,1,537.05263684375,0.0072999274619378,0.209967,-0.0015551006440622998
1966,2,542.78220409375,-0.0120578620209931,0.210364,-0.007720817831176301
1966,3,535.7208469375,-0.025086950497597498,0.202778,0.0092234293092712
1966,4,523.353965875,0.0211644793710562,0.208359,-0.0022921149511019
1966,5,535.49918975,-0.0565515605920421,0.209248,-0.0027064965961874996
1966,6,506.0255385,-0.0142971044462867,0.197796,-0.003080646229718
1966,7,500.2183159375,-0.0165478840860769,0.203599,-0.0030388892321095004
1966,8,493.49957884375,-0.0790758653915343,0.203575,-0.009444918838453501
1966,9,454.28454803125,-0.0104475110898066,0.190418,0.0089367925001511
1966,10,450.18952678125,0.0386218574704502,0.20598,0.004042990995479701
1966,11,469.00637871875,0.0140335134913129,0.207827,-0.0030346448956651995
1966,12,474.63923375,0.0017367657742534998,0.204,0.0137859546872836
1967,1,481.2297309375,0.081853512714047,0.209605,0.0058884655438068995
1967,2,522.1240676875,0.0076187048061388,0.211731,-0.006209981521193999
1967,3,526.6043271875,0.040141991305842596,0.205591,0.0085753515439928
1967,4,548.461964625,0.0387998844183462,0.216687,-0.0070484105324095
1967,5,571.4994476875,-0.0428106691762708,0.213996,-6.779754993909998e-05
1967,6,544.612145875,0.0242030223893667,0.200426,-0.012744683918122699
1967,7,558.5951999375,0.0457475724807859,0.205201,0.0043032313455072
1967,8,584.1103373125,-0.0090366894642019,0.205496,-0.0037509512147533997
1967,9,578.0271731875,0.031032866825458104,0.200369,-0.0007754224881975002
